EbN0_dB,BER_Corrected,BER_Uncorrected,BER_Theory
0,0.0439914285714286,0.0789214285714286,0.0786496035251426
1,0.0241642857142857,0.0560257142857143,0.0562819519765415
2,0.0113114285714286,0.0375414285714286,0.037506128358926
3,0.00436857142857143,0.0230314285714286,0.0228784075610853
4,0.00121,0.0124957142857143,0.0125008180407376
5,0.000335714285714286,0.00591142857142857,0.00595386714777866
6,6e-05,0.00234285714285714,0.00238829078093281
